KEY,English,Vietnamese,Korean
Setting,Setting,Cài đặt,환경
Language,Language,Ngôn ngữ,언어
BG,Background music,Nhạc nền,배경 음악
SFX,SFX,SFX,SFX
Master,Master ,Tổng,주인
FPS,FPS,FPS,fps
Volume,Volume,Âm lượng,용량
English,English,Tiếng Anh,English
Vietnamese,Vietnamese,Tiếng Việt,Vietnamese
Menu,Menu,Tùy chọn,메뉴
Resume,Resume,Tiếp tục,재개하다
GiveUp,Give Up,Bỏ cuộc,포기하다
AUS,Are you sure?,Bạn có chắc không?,확실합니까?
Stats,Stats,Thông tin,통계
Updrage,Updrage,Nâng cấp,상승
Sure,Sure,Chắc chắn,확신하는
Cancle,Cancle,Hủy bỏ,cancle
Start,Start,Bắt đầu,시작
Agree,Agree,Đồng ý,동의하다
Yes,Yes ,Vâng,예
No,No,Không,아니요
Korean,Korean,Tiếng Hàn,Korean
