KEY,English,Vietnamese,Korean
food_des_1,"A fragrant bowl of broth embracing tender slices, rice noodles, and aromatic spices, crowned by fresh herbs—a warming symphony for your senses.","Một bát nước dùng thơm ôm các lát mềm, mì gạo và gia vị thơm, được đăng quang bởi các loại thảo mộc tươi, một bản giao hưởng ấm áp cho các giác quan của bạn.","신선한 허브로 선정되는 부드러운 조각, 쌀 국수 및 향기로운 향신료를 수용하는 향기로운 국물 그릇 - 당신의 감각을위한 따뜻한 교향곡."
food_des_2,"Subtle richness in a bowl cradling succulent protein, delicate rice threads, and fragrant warmth—an inviting journey for your taste buds.","Sự phong phú tinh tế trong một cái bát nuôi protein mọng nước, chỉ gạo tinh tế và sự ấm áp thơm, một hành trình mời gọi cho vị giác của bạn.","즙이 많은 단백질, 섬세한 쌀 실 및 향기로운 따뜻함에 미묘한 풍부함 - 당신의 입맛을위한 초대 여행."
food_des_3,"Bold and spicy, this culinary escapade features a symphony of proteins, vermicelli, and lemongrass-infused essence—a taste of vibrant tradition.","Bold và Spicy, Escapade ẩm thực này có một bản giao hưởng của protein, vermicelli và bản chất truyền nhiễm sả, một hương vị của truyền thống sôi động.","대담하고 매운이 컷 리나리 탈출은 단백질, 베르 미첼 리 및 레몬 그라스 주입 에센스의 심포니를 특징으로합니다."
food_des_4,"Slender noodles waltz with diverse proteins in a clear, flavorful broth, creating a harmonious bowl that celebrates texture and taste.","Mì Slender Waltz với các protein đa dạng trong nước dùng rõ ràng, có hương vị, tạo ra một bát hài hòa tôn vinh kết cấu và hương vị.",날씬한 국수는 깨끗하고 맛이 좋은 국물에 다양한 단백질을 wich 고 질감과 맛을 축하하는 조화로운 그릇을 만듭니다.
food_des_5,"Fragrant broken rice dances with grilled delights, offering a symphony of flavors and textures that pay homage to street culinary art.","Những điệu nhảy gạo vỡ với những món nướng nướng, cung cấp một bản giao hưởng của hương vị và kết cấu bày tỏ lòng tôn kính đối với nghệ thuật ẩm thực đường phố.",향기로운 쌀 쌀은 구운 즐거움으로 춤을 추며 스트리트 커트에 경의를 표하는 맛과 질감의 교향곡을 제공합니다.
food_des_6,"A fusion of French-Vietnamese delights—crispy exterior cradles a melody of savory meats, vibrant veggies, and zesty condiments.","Một sự hợp nhất của những món ăn ngon của người Pháp-Việt Nam, bên ngoài giòn giã một giai điệu của các loại thịt mặn, rau sống và gia vị hào hứng.","프랑스-베트남인의 유쾌한 유쾌한 외부 외관은 풍미있는 고기, 생생한 채소 및 열렬한 조미료의 멜로디를 요정합니다."
food_des_7,"Wide rice noodles host a flavorful gathering of meats, peanuts, and herbs, bathed in a turmeric-infused essence—an explosion of colors and tastes.","Mì gạo rộng tổ chức một tập hợp các loại thịt, đậu phộng, và các loại thảo mộc, được tắm trong một bản chất truyền động nghệ, một vụ nổ màu sắc và vị.","넓은 쌀 국수는 심황 주입 에센스로 목욕을하는 고기, 땅콩 및 허브의 맛이 좋은 색상과 맛이 폭발합니다."
food_des_8,"A handheld delight—crispy exterior cradles succulent protein, fresh veggies, and a medley of condiments, creating a harmonious burst of flavors.","Một món ăn cầm tay, bên ngoài cảnh giác, những cái nôi protein mọng nước, rau tươi và một loạt các gia vị, tạo ra một loạt các hương vị hài hòa.","핸드 헬드 즐거움 - Drispy 외부 요람 즙이 많은 단백질, 신선한 채소 및 조미료의 조미료로 조화를 이루는 조미료를 만듭니다."
food_des_9,"A sizzling transformation—noodles meet a wok’s embrace, dancing with vibrant veggies and savory seasonings in a delightful stir-fry.","Một sự biến đổi nóng bỏng, những người nẻ nến gặp nhau một cái ôm chảo, nhảy múa với những loại rau rực rỡ và gia vị mặn trong một món xào thú vị.","지글 지글 변형 자원은 냄비의 포옹을 만나, 유쾌한 채소와 풍미있는 양념으로 춤을 추고 있습니다."
food_des_10,"Hu tieu noodles entwine with a symphony of stir-fried delights, offering a textural journey through culinary art.","Mì Hu Tieu Entwine với một bản giao hưởng của những món ăn xào, mang đến một hành trình kết cấu thông qua nghệ thuật ẩm thực.",Hu Tieu Noodles는 Cur Lammy Art를 통한 조직적인 여행을 제공하는 볶은 즐거움의 교향곡을 곁들입니다.
