KEY,English,Vietnamese,Korean
food_name_1,Beef Pho,Phở bò,Beef Pho
food_name_2,Chicken Pho,Phở gà,Chicken Pho
food_name_3,Bun Bo Hue,Bún bò Huế,Bun Bo Hue
food_name_4,Hu Tieu,Hủ tiếu,Hu Tieu
food_name_5,Com Tam,Cơm tấm,Com Tam
food_name_6,Banh Mi,Bánh mì,Banh Mi
food_name_7,Mi Quang,Mỳ quảng,Mi Quang
food_name_8,Chicken Banh Mi ,Bánh mì gà,Chicken Banh Mi 
food_name_9,stir-fried Pho,Phở xào,stir-fried Pho
food_name_10,stir-fried Hu Tieu,Hủ tiếu xào,stir-fried Hu Tieu
food_name_11,Kimbap,Kimbap,Kimbap
food_name_12,Kimchi Soup,Canh kimchi,Kimchi Soup
food_name_13,Tokbokki,Bánh gạo cay,Tokbokki
food_name_14,Bulgogi,Bulgogi,Bulgogi
food_name_15,Samgyetang,Samgyetang,Samgyetang
material_name_1,Pork,Thịt heo,돼지고기
material_name_2,Beef,Thịt bò,소고기
material_name_3,Chicken,Thịt gà,닭
material_name_4,Shrimp,Tôm,새우
material_name_5,Crab,Cua,게
material_name_6,Salmon,Cá hồi,연어
material_name_7,Tofu,Đậu phụ,두부
material_name_8,Cauliflower,Súp lơ,콜리 플라워
material_name_9,Cabbage,Bắp cải,양배추
material_name_10,Salad,Rau xà lách,샐러드
material_name_11,Onion,Hành tây,양파
material_name_12,Spring onion,Hành lá,봄 양파
material_name_13,Radish,Củ cải,무
material_name_14,Eggplant,Cà tím,가지
material_name_16,Onion,Hành tím,양파
material_name_17,Tomato,Cà chua,토마토
material_name_18,Peppers,Ớt trái,피망
material_name_19,Bell pepper,Ớt chuông,피망
material_name_20,Ginger,Gừng,생강
material_name_21,anise,Hoa hồi,아니스
material_name_22,Licorice,Cam thảo,감초
material_name_23,Cinnamon,Quế,시나몬
material_name_24,Kimchi,Kim chi,김치
material_name_25,Cabbage,Cải thảo,양배추
material_name_26,Sugar,Đường,설탕
material_name_27,Salt,Muối,소금
material_name_28,MSG,Bột ngọt,MSG
material_name_29,Fish sauce,Nước mắm,생선 소스
material_name_30,Soybean oil,Dầu đậu nành,콩기름
material_name_31,Olive oil,Dầu ô liu,올리브유
material_name_32,Rice,Gạo,쌀
material_name_33,Flour,Bột mì,밀가루
material_name_34,Pasta,Sợi mì,파스타
material_name_35,Noodle,Sợi phở,국수
material_name_36,Vermicelli,Sợi bún,Vermicelli
material_name_37,Rice,Cơm,쌀
material_name_38,Bread,Bánh mì,빵
material_name_39,Bread,Bánh mì gối,빵
material_name_40,Milk,Sữa,우유
material_name_41,Cheese,Phô mai,치즈
material_name_42,Margarine,Bơ thực vật,마가린
material_name_43,Paprika,Ớt bột,파프리카
material_name_44,Pepper powder,Tiêu bột,고춧가루
